dunno,don't know,chais pas
jerk,Move suddenly,mouvement brusque coup sec
at least,,au moin
if nothing else ,,mais au moin
catch,caught,atraper
well,,bien
both,,Les 2
raise,,ameliorer/augmenter
than,,Exprime la comparaison(que)
is being,,en cours
enough,sufficient ,sufisant/asser
actually ,,vraiment/fait
puchover,,faible/mou/chiffe mole/se laisser marcher sur les pied
puchover,,un jeu d'enfan/ facile
let,,laisser
him,,lui
some,,quelque
then,,puis ou alors
lame,,nul/foireuse/enyeuse
even,,
aid ,help,aide/assistance/secours
while,,pendant que
baker,,boulanger
peacefull,,paisible
way,,maniere/chemin
anything else,,rien d'autre
already,,deja
eh,,hein
pitch,,ton/piqueter
finally ,,enfin
as,,comme
like,,comme
loke like,,resembler a
well,,bien
should,,devrait
town,,ville
crowded,,bondé
